code,name,category,revenue_yoy_growth,profit_loss_yoy_growth,roe,eps,composite_score
5277,FOUNDPAC GROUP BERHAD,"Industrial Materials, Components & Equipment",1.1363636363636465,-6.25,1.4,0.27,-1.200090909090906
5157,SAUDEE GROUP BERHAD,Food & Beverages,4.2654028436019065,-8.791208791208794,0.1,0.01,-1.3357417842820662
5216,DATASONIC GROUP BERHAD,Digital Services,-7.110091743119263,-1.6574585635359074,5.1,0.64,-1.4822650919965512
0065,EXCEL FORCE MSC BERHAD,Software,2.777777777777768,-9.523809523809524,1.5,0.31,-1.6618095238095267
8338,DATAPREP HOLDINGS BHD,Digital Services,0.0,0.0,-10.4,-0.52,-2.184
9059,TSH RESOURCES BERHAD,Plantation,-22.363575493806497,12.20338983050848,1.7,2.4,-2.2280556989894054
9466,KKB ENGINEERING BERHAD,Industrial Engineering,2.1413276231263323,-13.4020618556701,2.1,2.92,-2.3742202697631303
1198,MAA GROUP BERHAD,Insurance,0.0,-0.0,-5.0,-7.1,-2.42
1724,PARAMOUNT CORPORATION BERHAD,Property,2.511244377811095,-13.227513227513231,1.1,2.63,-2.468880654910641
4863,TELEKOM MALAYSIA BERHAD,Telecommunications Service Providers,-6.451612903225811,-13.600891861761422,5.0,12.12,-2.59175142949617
0001,SUPERCOMNET TECHNOLOGIES BERHAD,Health Care Equipment & Services,14.76923076923078,-25.67567567567568,1.3,0.66,-2.87993347193347
0151,KELINGTON GROUP BERHAD,Industrial Engineering,-23.519163763066196,3.785488958990535,7.8,4.83,-3.3941024412226968
5040,MERIDIAN BERHAD,Property,35.78125000000001,-43.99999999999999,-3.1,-1.56,-3.397624999999996
7237,POWER ROOT BERHAD,Food & Beverages,3.0090270812437314,-17.47572815533981,2.6,1.9,-3.4400103222288227
4235,LION INDUSTRIES CORPORATION BERHAD,Metals,0.0,-0.0,-7.4,-10.03,-3.4859999999999998
5267,XIN HWA HOLDINGS BERHAD,Transportation & Logistics Services,36.277602523659304,-47.05882352941176,-0.9,-0.72,-3.558366301725736
3689,FRASER & NEAVE HOLDINGS BHD,Food & Beverages,8.333333333333325,-38.22674418604651,2.4,23.2,-3.8480232558139535
0256,UMEDIC GROUP BERHAD,Health Care Equipment & Services,-9.6551724137931,-5.263157894736848,2.5,0.49,-3.877499092558984
5293,AME ELITE CONSORTIUM BERHAD,Construction,-19.75996570938705,2.752293577981657,2.5,3.51,-3.9003016394216177
7239,SCANWOLF CORPORATION BERHAD,Building Materials,37.66233766233766,-47.22222222222222,-4.3,-0.91,-3.909965367965368
5065,ORNAPAPER BERHAD,Packaging Materials,6.896551724137923,-21.42857142857143,0.6,1.48,-3.9436059113300517
7100,UCHI TECHNOLOGIES BERHAD,"Industrial Materials, Components & Equipment",-11.764705882352944,-15.269461077844316,13.7,6.15,-4.140250088059178
5041,PBA HOLDINGS BHD,"Gas, Water & Multi-Utilities",22.397200349956247,-42.391304347826086,2.1,6.39,-4.300231199360953
7091,UNIMECH GROUP BERHAD,"Industrial Materials, Components & Equipment",0.4733727810650956,-19.17808219178082,1.8,4.02,-4.447412823214717
5116,AL-AQAR HEALTHCARE REIT,Real Estate Investment Trusts,-6.1688311688311686,-11.363636363636363,1.5,1.86,-4.58774025974026
5285,SIME DARBY PLANTATION BERHAD,Plantation,10.416666666666677,-36.16666666666667,4.5,11.1,-4.604999999999997
5015,APM AUTOMOTIVE HOLDINGS BERHAD,Auto Parts,5.169753086419759,-27.7992277992278,1.3,9.55,-4.618842413842412
5094,CSC STEEL HOLDINGS BERHAD,Metals,0.1731815932706659,-17.85714285714286,0.8,1.86,-4.773188379161659
5276,DANCOMECH HOLDINGS BERHAD,"Industrial Materials, Components & Equipment",2.53623188405796,-20.68965517241379,2.0,1.0,-4.8460269865067485
5250,7-ELEVEN MALAYSIA HOLDINGS BERHAD,Retailers,5.487026797107619,-24.305555555555557,2.9,0.99,-4.867558627534381
6114,MKH BERHAD,Property,-18.658146964856225,-0.5347593582887722,1.0,3.22,-4.9138718969434985
9938,BRIGHT PACKAGING INDUSTRY BERHAD,Packaging Materials,14.76510067114094,-33.333333333333336,1.4,0.86,-5.118469798657718
7149,ENG KAH CORPORATION BERHAD,Houshold Goods,-8.18181818181818,-7.692307692307687,-1.8,-0.85,-5.29223776223776
7186,SWS CAPITAL BERHAD,Houshold Goods,-4.577464788732399,-12.5,-1.0,-0.47,-5.41723943661972
